trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",25,0,-102.13086659495563,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",20,0,-33.91951616597415,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,0,-122.91536447122654,"{0: 10, 1: 6, 2: 1, 3: 1, 4: 2}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",30,0,-96.40512024989602,"{0: 19, 1: 5, 2: 3, 3: 3, 4: 0}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",30,0,-35.735620517967966,"{0: 25, 1: 2, 2: 1, 3: 2, 4: 0}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",20,1,1.8699973733552222,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-50.8449884078851,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,0,-30.864033169162447,"{0: 14, 1: 5, 2: 0, 3: 1, 4: 0}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",25,0,-18.34004668958762,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",25,0,-73.34342489185728,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,0,-87.97280584919685,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",25,0,-149.0484266376879,"{0: 15, 1: 5, 2: 0, 3: 3, 4: 2}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",30,0,-27.749538128283344,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",20,0,-36.91079892603181,"{0: 14, 1: 5, 2: 0, 3: 1, 4: 0}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",20,5,-76.11281134701262,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",20,3,4.298760733101256,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",25,0,-45.0253349313309,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",25,0,-61.88033241642914,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",25,0,-1.2851743547475385,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",25,0,-111.48951240757617,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
1,True,"{'e': -0.05, 'a': 0}",20,0,6.264883994904505,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
2,True,"{'e': -0.05, 'a': 0}",20,13,-74.80794840615053,"{0: 4, 1: 0, 2: 0, 3: 2, 4: 1}",1
3,True,"{'e': -0.05, 'a': 0}",30,12,-52.05338309878168,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
4,True,"{'e': -0.05, 'a': 0}",20,0,-27.177704649131538,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
5,True,"{'e': -0.05, 'a': 0}",30,0,-69.437546294087,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
6,True,"{'e': -0.05, 'a': 0}",25,0,-73.84867513796384,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
7,True,"{'e': -0.05, 'a': 0}",20,0,-43.93816332194106,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
8,True,"{'e': -0.05, 'a': 0}",25,0,-78.69454207643714,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
9,True,"{'e': -0.05, 'a': 0}",30,0,-2.12681200768463,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,True,"{'e': -0.05, 'a': 0}",30,0,-50.10056867541145,"{0: 20, 1: 6, 2: 3, 3: 1, 4: 0}",0
