trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.9999595002733742, 'a': 0.9}",20,0,-182.44321206077095,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
2,False,"{'e': 0.9998380043739528, 'a': 0.9}",20,0,-65.49689303191425,"{0: 14, 1: 2, 2: 1, 3: 3, 4: 0}",0
3,False,"{'e': 0.9996355221428369, 'a': 0.9}",20,0,-159.63209838007467,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
4,False,"{'e': 0.9993520699809768, 'a': 0.9}",25,0,-270.2525980386581,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 5}",0
5,False,"{'e': 0.9989876708478425, 'a': 0.9}",20,0,-85.13628245614485,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'e': 0.9985423542595644, 'a': 0.9}",20,0,-34.33124740136666,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
7,False,"{'e': 0.9980161562865429, 'a': 0.9}",20,0,-113.1276917365831,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
8,False,"{'e': 0.9974091195505261, 'a': 0.9}",25,0,-103.97023043130237,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
9,False,"{'e': 0.9967212932211577, 'a': 0.9}",30,0,-174.87959229157926,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
10,False,"{'e': 0.9959527330119943, 'a': 0.9}",30,0,-196.46163444730544,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
11,False,"{'e': 0.9951035011759926, 'a': 0.9}",20,0,-101.64056746435251,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
12,False,"{'e': 0.9941736665004669, 'a': 0.9}",25,0,-128.76210288456113,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
13,False,"{'e': 0.9931633043015177, 'a': 0.9}",30,0,-53.162727156332835,"{0: 20, 1: 5, 2: 5, 3: 0, 4: 0}",0
14,False,"{'e': 0.9920724964179307, 'a': 0.9}",30,0,-102.12959100536503,"{0: 18, 1: 5, 2: 4, 3: 3, 4: 0}",0
15,False,"{'e': 0.9909013312045479, 'a': 0.9}",20,5,-36.79145795210212,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
16,False,"{'e': 0.9896499035251115, 'a': 0.9}",20,0,-98.15736169296726,"{0: 11, 1: 5, 2: 1, 3: 2, 4: 1}",0
17,False,"{'e': 0.9883183147445792, 'a': 0.9}",30,3,-161.49413252710266,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 2}",1
18,False,"{'e': 0.986906672720914, 'a': 0.9}",20,0,-29.936468353593362,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
19,False,"{'e': 0.9854150917963483, 'a': 0.9}",20,13,-37.76222270917195,"{0: 4, 1: 1, 2: 0, 3: 2, 4: 0}",1
20,False,"{'e': 0.9838436927881214, 'a': 0.9}",25,0,-137.6848794932668,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
21,False,"{'e': 0.9821926029786937, 'a': 0.9}",20,0,-110.50382809868194,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
22,False,"{'e': 0.9804619561054371, 'a': 0.9}",20,0,-49.77442936596383,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
23,False,"{'e': 0.978651892349802, 'a': 0.9}",20,0,-149.5235519897229,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
