trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",20,0,-75.98850076418529,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",20,0,-64.64937297341159,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,1,-21.910005696716475,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,0,-5.8188956127552975,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",30,0,-157.27524221920473,"{0: 13, 1: 9, 2: 5, 3: 2, 4: 1}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",20,6,-24.405680154464648,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",25,0,-22.177192406806032,"{0: 19, 1: 5, 2: 0, 3: 1, 4: 0}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,0,-77.84939329689051,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,0,-65.60284066779097,"{0: 16, 1: 0, 2: 0, 3: 4, 4: 0}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",20,0,-14.856871256290876,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,0,-49.374451828518104,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",30,0,-123.94921244698499,"{0: 16, 1: 8, 2: 4, 3: 1, 4: 1}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,0,-139.59008491903143,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",20,0,-153.4030795924745,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",25,18,-44.77109009977948,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",20,0,-4.316793545753351,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",20,0,-123.62418205358435,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",35,0,-186.51729634196406,"{0: 25, 1: 1, 2: 1, 3: 6, 4: 2}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",20,0,-49.989689346564575,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",20,4,-88.29985731966956,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 2}",1
1,True,"{'e': -0.05, 'a': 0}",25,0,-47.83235095747039,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
2,True,"{'e': -0.05, 'a': 0}",20,0,-67.78013812540298,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
3,True,"{'e': -0.05, 'a': 0}",20,5,-83.85567112356463,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 1}",1
4,True,"{'e': -0.05, 'a': 0}",20,0,-6.296578477482467,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
5,True,"{'e': -0.05, 'a': 0}",35,20,-4.144277957003817,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
6,True,"{'e': -0.05, 'a': 0}",25,0,-73.54632373794446,"{0: 16, 1: 7, 2: 1, 3: 0, 4: 1}",0
7,True,"{'e': -0.05, 'a': 0}",20,0,-23.494542775786147,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
8,True,"{'e': -0.05, 'a': 0}",20,0,-27.126078955564743,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
9,True,"{'e': -0.05, 'a': 0}",25,0,-93.98163528991829,"{0: 16, 1: 5, 2: 1, 3: 2, 4: 1}",0
10,True,"{'e': -0.05, 'a': 0}",25,0,-70.63311506498636,"{0: 16, 1: 7, 2: 1, 3: 0, 4: 1}",0
